Adamsville	ppl	McNairy	Tennessee	35.2358	-87.6094	518
Adamsville	ppl	Lampasas	Texas	31.3011	-97.8314	1068
Adamsville	ppl	Beaver	Utah	38.2583	-111.2069	5600
Adario	ppl	Richland	Ohio	40.9344	-81.5497	1153
Addicks	ppl	Harris	Texas	29.7822	-94.3578	98
Addicks Reservoir	reservoir	Harris	Texas	29.7906	-94.3767	113
Addie	ppl	Jackson	North Carolina	35.4058	-82.84	2360
Addieville	ppl	Washington	Illinois	38.3914	-88.51	467
Addington	ppl	Jefferson	Oklahoma	34.2444	-96.0333	946
Addis	ppl	West Baton Rouge	Louisiana	30.3536	-90.7347	19
Addison	ppl	Winston	Alabama	34.2022	-86.8186	779
Addison	ppl	Du Page	Illinois	41.9317	-86.0111	691
Addison	ppl	Steuben	New York	42.1028	-76.7661	985
Addison	ppl	Gallia	Ohio	38.8861	-81.8536	572
Addison	ppl	Dallas	Texas	32.9617	-95.1711	672
Addison County	civil	Addison	Vermont	44.05	-72.8833	
Addy	ppl	Stevens	Washington	48.3561	-116.1636	1636
Addyston	ppl	Hamilton	Ohio	39.1367	-83.2908	492
Adel	ppl	Cascade	Montana	47.0278	-110.3769	4925
Adel	ppl	Lake	Oregon	42.1775	-118.1025	4542
Adel (county seat)	ppl	Cook	Georgia	31.1369	-82.5764	246
Adel (county seat)	ppl	Dallas	Iowa	41.6144	-93.9828	930
Adelaide	ppl	King	Washington	47.3311	-121.6408	43
Adelanto	ppl	San Bernardino	California	34.5828	-116.5917	2862
Adelphi	ppl	Ross	Ohio	39.4667	-81.2528	838
Adelphia	ppl	Monmouth	New Jersey	40.2181	-73.7433	100
Aden	ppl	Dona Ana	New Mexico	32.15	-106.8733	4382
Adena	ppl	Jefferson	Ohio	40.2186	-79.1269	884
Adgateville	ppl	Jasper	Georgia	33.2231	-82.3289	660
Adin	ppl	Modoc	California	41.1939	-119.0558	4205
Adirondack Mountains	range	Hamilton	New York	44.00	-73.50	
Adjuntas	ppl	Adjuntas	Puerto Rico	18.1633	-65.2767	1625
Adjuntas Municipio	civil	Adjuntas	Puerto Rico	18.1792	-65.25	
Admiralty Bay	bay	North Slope	Alaska	70.8833	-154.2833	
Admiralty Inlet	channel	Jefferson	Washington	48.1333	-121.30	
Admiralty Island	island	Skagway-Yakutat-Angoon	Alaska	57.6667	-133.6667	
Admiralty Island National Monument	park	Skagway-Yakutat-Angoon	Alaska	57.6667	-133.6667	
Adna	ppl	Lewis	Washington	46.6292	-122.94	196
Adobe Creek Reservoir	reservoir	Bent	Colorado	38.2347	-102.7217	4128
Adobe Range	range	Elko	Nevada	40.9531	-114.2022	
Adolphus	ppl	Allen	Kentucky	36.6517	-85.7386	750
Adrian	ppl	Emanuel	Georgia	32.5306	-81.4106	286
Adrian	ppl	Nobles	Minnesota	43.635	-94.0675	1541
Adrian	ppl	Bates	Missouri	38.3975	-93.6486	871
Adrian	ppl	Malheur	Oregon	43.7408	-116.9292	2228
Adrian	ppl	Oldham	Texas	35.2747	-101.3353	4042
Adrian (county seat)	ppl	Lenawee	Michigan	41.8975	-83.9628	813
Advance	ppl	Boone	Indiana	39.9958	-85.38	922
Advance	ppl	Stoddard	Missouri	37.1044	-88.0894	361
Advance	ppl	Davie	North Carolina	35.9411	-79.5906	831
Ady	ppl	Harford	Maryland	39.6386	-75.6669	473
Ady	ppl	Potter	Texas	35.4856	-101.8681	3150
Aeneas	ppl	Okanogan	Washington	48.5475	-117.0225	2423
Aetna	ppl	Barber	Kansas	37.0839	-97.0375	1640
Affton	ppl	Saint Louis	Missouri	38.5506	-89.6669	609
Afognak	ppl	Kodiak Island	Alaska	58.0083	-151.2333	
Afognak Island	island	Kodiak Island	Alaska	58.25	-151.50	
Afono	ppl	Eastern	American Samoa	-13.7358	-169.3492	
Afton	ppl	San Bernardino	California	35.0364	-115.6211	1408
Afton	ppl	Union	Iowa	41.0275	-93.8022	1198
Afton	ppl	Chenango	New York	42.2281	-74.4731	981
Afton	ppl	Ottawa	Oklahoma	36.6936	-93.0372	792
Afton	ppl	Lincoln	Wyoming	42.725	-109.0689	6267
Afton	ppl	Dona Ana	New Mexico	32.0733	-105.0517	4198
Agamenticus, Mount	summit	York	Maine	43.2231	-69.3075	691
Agana	ppl	Guam	Guam	13.4742	144.7478	
Agar	ppl	Sully	South Dakota	44.84	-99.925	1851
Agashashok River	stream	Northwest Arctic	Alaska	67.2667	-161.3667	
Agassiz National Wildlife Refuge	park	Marshall	Minnesota	48.35	-94.05	
Agassiz Pool	lake	Marshall	Minnesota	48.3319	-95.9864	
Agassiz, Mount	summit	Fresno	California	37.1117	-117.47	13891
Agat	ppl	Guam	Guam	13.3814	144.6547	
Agat Bay	bay	Guam	Guam	13.40	144.65	
Agate	ppl	Elbert	Colorado	39.4617	-102.0583	5458
Agate	ppl	Sioux	Nebraska	42.42	-102.2067	4432
Agate Beach	ppl	Lincoln	Oregon	44.6775	-123.9394	123
